zoned_school_name,current_placement,share_diverted
WHARTON HIGH SCHOOL,Hope Sch,6e-4
WHARTON HIGH SCHOOL,Magnet,0.2208
WHARTON HIGH SCHOOL,Neighborhood,0.0125
WHARTON HIGH SCHOOL,Stay,0.6111
WILSON ELEMENTARY,Choice,0.0556
WILSON ELEMENTARY,Magnet,0.0635
WILSON ELEMENTARY,Neighborhood,0.0635
WILSON ELEMENTARY,Stay,0.8175
WILSON MIDDLE SCHOOL,Charter,0.0422
WILSON MIDDLE SCHOOL,Choice,0.0015
WILSON MIDDLE SCHOOL,Magnet,0.0392
WILSON MIDDLE SCHOOL,Neighborhood,0.0045
WILSON MIDDLE SCHOOL,Stay,0.9127
WIMAUMA ELEMENTARY,Charter,0.1689
WIMAUMA ELEMENTARY,Choice,0.0617
WIMAUMA ELEMENTARY,ESE Placed,0.0015
WIMAUMA ELEMENTARY,Magnet,0.0176
WIMAUMA ELEMENTARY,Neighborhood,0.0264
WIMAUMA ELEMENTARY,Stay,0.7239
WITTER ELEMENTARY,Charter,0.1264
WITTER ELEMENTARY,Choice,0.0632
WITTER ELEMENTARY,Magnet,0.0746
WITTER ELEMENTARY,Neighborhood,0.0778
WITTER ELEMENTARY,Stay,0.658
WOODBRIDGE ELEMENTARY,Charter,0.1634
WOODBRIDGE ELEMENTARY,Choice,0.0842
WOODBRIDGE ELEMENTARY,Magnet,0.0136
WOODBRIDGE ELEMENTARY,Neighborhood,0.047
WOODBRIDGE ELEMENTARY,Stay,0.6918
WOODSON K-8,Charter,0.1707
WOODSON K-8,Choice,0.0883
WOODSON K-8,Hope Sch,8e-4
WOODSON K-8,Magnet,0.0841
WOODSON K-8,Neighborhood,0.0639
WOODSON K-8,Stay,0.5921
YATES ELEMENTARY,Charter,0.1389
YATES ELEMENTARY,Choice,0.147
YATES ELEMENTARY,ESE Placed,0.0012
YATES ELEMENTARY,Magnet,0.0174
YATES ELEMENTARY,Neighborhood,0.0648
YATES ELEMENTARY,Stay,0.6308
,,1
