school_name,school_number,region,level3_plus_22_23,student_count_22_23,level3_plus_23_24,student_count_23_24,exam
TAMPA HEIGHTS ELEMENTARY MAGNET,2401,TN1,0.24,63,0.27,48,Grade 3 ELA
TAMPA PALMS ELEMENTARY SCHOOL,4261,E3,0.49,123,0.44,130,Grade 3 ELA
TEMPLE TERRACE ELEM. SCHOOL,4281,TN2,0.25,78,0.11,92,Grade 3 ELA
THOMPSON ELEMENTARY,0125,TN3,0.18,117,0.18,127,Grade 3 ELA
THONOTOSASSA ELEMENTARY SCHOOL,4361,TN1,0.15,57,0.23,65,Grade 3 ELA
TINKER K-8 SCHOOL,4381,E1,0.5,77,0.69,70,Grade 3 ELA
TOWN & COUNTRY ELEMENTARY SCHL,4441,E2,0.15,55,0.17,64,Grade 3 ELA
TRAPNELL ELEMENTARY SCHOOL,4481,E4,0.22,76,0.37,75,Grade 3 ELA
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.39,150,0.53,133,Grade 3 ELA
TWIN LAKES ELEMENTARY SCHOOL,4561,E2,0.11,70,0.14,73,Grade 3 ELA
VALRICO ELEMENTARY SCHOOL,4581,E4,0.46,125,0.45,112,Grade 3 ELA
WALDEN LAKE ELEMENTARY SCHOOL,4591,E4,0.39,145,0.45,120,Grade 3 ELA
WARREN HOPE DAWSON ELEMENTARY,0005,E5,0.38,168,0.43,155,Grade 3 ELA
WASHINGTON ELEMENTARY SCHOOL,4601,TN2,0.02,48,0.25,52,Grade 3 ELA
WEST SHORE ELEMENTARY SCHOOL,4681,E1,0.3,57,0.38,50,Grade 3 ELA
WEST TAMPA ELEMENTARY SCHOOL,4722,E1,0.28,61,0.27,67,Grade 3 ELA
WESTCHASE ELEMENTARY SCHOOL,4651,E2,0.5499999999999999,148,0.57,155,Grade 3 ELA
WILSON ELEMENTARY SCHOOL,4801,E4,0.22000000000000003,58,0.45,51,Grade 3 ELA
WIMAUMA ELEMENTARY SCHOOL,4841,E5,0.18,98,0.26,84,Grade 3 ELA
WITTER ELEMENTARY SCHOOL,4921,TN2,0.11,88,0.15,84,Grade 3 ELA
WOODBRIDGE ELEMENTARY SCHOOL,4941,E2,0.15,100,0.16,98,Grade 3 ELA
YATES ELEMENTARY SCHOOL,4961,E4,0.19000000000000003,102,0.19,115,Grade 3 ELA
ALAFIA ELEMENTARY SCHOOL,0271,E4,0.3,104,0.23,91,Grade 3 Math
ALEXANDER ELEMENTARY SCHOOL,0081,E2,0.23,69,0.44,80,Grade 3 Math
ANDERSON ELEMENTARY SCHOOL,0121,E1,0.28,60,0.22,51,Grade 3 Math
APOLLO BEACH ELEMENTARY SCHOOL,0141,E5,0.47,106,0.38,98,Grade 3 Math
BAILEY ELEMENTARY SCHOOL,0092,E4,0.19000000000000003,144,0.2,130,Grade 3 Math
BALLAST POINT ELEMENTARY SCHL,0161,E1,0.35000000000000003,62,0.47,77,Grade 3 Math
BAY CREST ELEMENTARY SCHOOL,0191,E2,0.15,90,0.24,78,Grade 3 Math
BELLAMY ELEMENTARY SCHOOL,1776,E2,0.12000000000000001,104,0.18,85,Grade 3 Math
BELMONT ELEMENTARY SCHOOL,0009,E5,0.14,184,0.12,160,Grade 3 Math
BEVIS ELEMENTARY SCHOOL,0361,E5,0.39,121,0.6,157,Grade 3 Math
BING ELEMENTARY SCHOOL,0261,E4,0.05,83,0.1,86,Grade 3 Math
BOYETTE SPRINGS ELEM. SCHOOL,0311,E5,0.47000000000000003,129,0.42,130,Grade 3 Math
BROOKER ELEMENTARY SCHOOL,0401,E5,0.13,136,0.27,119,Grade 3 Math
BROWARD ELEMENTARY SCHOOL,0441,TN3,0.14,37,0.11,46,Grade 3 Math
BRYAN ELEMENTARY SCHOOL,0521,E4,0.13,122,0.15,103,Grade 3 Math
BRYANT ELEMENTARY SCHOOL,0527,E2,0.6300000000000001,157,0.69,143,Grade 3 Math
BUCKHORN ELEMENTARY SCHOOL,0571,E4,0.38,120,0.34,111,Grade 3 Math
BURNEY ELEMENTARY SCHOOL,0641,TN1,0.11000000000000001,55,0.04,45,Grade 3 Math
CANNELLA ELEMENTARY SCHOOL,0691,E2,0.13,82,0.24,79,Grade 3 Math
CARROLLWOOD K-8 SCHOOL,0701,E3,0.4,119,0.5,111,Grade 3 Math
CHIARAMONTE ELEMENTARY SCHOOL,0771,E1,0.32,49,0.31,35,Grade 3 Math
CHILES ELEMENTARY SCHOOL,0772,E3,0.52,159,0.58,155,Grade 3 Math
CIMINO ELEMENTARY SCHOOL,0802,E4,0.32,120,0.33,151,Grade 3 Math
CITRUS PARK ELEMENTARY SCHOOL,0801,E2,0.24000000000000002,67,0.47,90,Grade 3 Math
CLAIR-MEL ELEMENTARY SCHOOL,0841,TN1,0.05,68,0.06,68,Grade 3 Math
CLARK ELEMENTARY SCHOOL,0851,E3,0.49000000000000005,169,0.49,138,Grade 3 Math
CLAYWELL ELEMENTARY SCHOOL,0861,E3,0.24000000000000002,102,0.4,113,Grade 3 Math
CLEVELAND ELEMENTARY SCHOOL,0881,TN1,0.26,27,0.12,34,Grade 3 Math
COLLINS PK-8 SCHOOL,0065,E5,0.22999999999999998,140,0.31,201,Grade 3 Math
COLSON ELEMENTARY SCHOOL,0931,E4,0.17,110,0.24,87,Grade 3 Math
CORK ELEMENTARY SCHOOL,1001,E4,0.19999999999999998,122,0.17,121,Grade 3 Math
CORR ELEMENTARY SCHOOL,0054,E5,0.18,101,0.13,98,Grade 3 Math
CRESTWOOD ELEMENTARY SCHOOL,1021,E2,0.11,141,0.2,122,Grade 3 Math
CYPRESS CREEK ELEMENTARY SCHL,1051,E5,0.18,185,0.19,127,Grade 3 Math
DAVIS ELEMENTARY SCHOOL,0056,E2,0.13,105,0.16,80,Grade 3 Math
DEER PARK ELEMENTARY SCHOOL,0100,E2,0.38000000000000006,189,0.45,145,Grade 3 Math
DESOTO ELEMENTARY SCHOOL,1081,TN2,0.11,37,0.36,25,Grade 3 Math
DICKENSON ELEMENTARY SCHOOL,1101,E1,0.12,93,0.05,91,Grade 3 Math
DOBY ELEMENTARY SCHOOL,0072,E5,0.14,100,0.17,111,Grade 3 Math
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.41000000000000003,131,0.32,146,Grade 3 Math
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 3 Math
DOVER ELEMENTARY,1201,TN3,0.12,83,0.12,107,Grade 3 Math
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.06,116,0.04,80,Grade 3 Math
DUNBAR ELEMENTARY MAGNET SCHOOL,1281,TN3,0.55,53,0.19,57,Grade 3 Math
EDISON ELEMENTARY SCHOOL,1361,TN3,0.02,49,0.11,38,Grade 3 Math
EGYPT LAKE ELEMENTARY SCHOOL,1401,E2,0.1,62,0.21,72,Grade 3 Math
ESSRIG ELEMENTARY SCHOOL,1431,E3,0.32,95,0.28,87,Grade 3 Math
FISHHAWK CREEK ELEMENTARY SCHOOL,0059,E5,0.5700000000000001,196,0.56,189,Grade 3 Math
FOLSOM ELEMENTARY SCHOOL,1471,TN1,0.1,79,0.33,55,Grade 3 Math
FOREST HILLS ELEMENTARY SCHOOL,0042,TN2,0.07,122,0.17,111,Grade 3 Math
FOSTER ELEMENTARY SCHOOL,1481,TN1,0.05,60,0.11,65,Grade 3 Math
FROST ELEMENTARY SCHOOL,0070,E4,0.15000000000000002,98,0.09,85,Grade 3 Math
GIBSONTON ELEMENTARY SCHOOL,1601,TN3,0.08,95,0.32,82,Grade 3 Math
GORRIE ELEMENTARY SCHOOL,1681,E1,0.44999999999999996,88,0.65,83,Grade 3 Math
GRADY ELEMENTARY SCHOOL,1721,E1,0.6200000000000001,86,0.69,88,Grade 3 Math
GRAHAM ELEMENTARY SCHOOL,1761,TN3,0.02,43,0.06,36,Grade 3 Math
HAMMOND ELEMENTARY SCHOOL,0102,E2,0.42,115,0.45,123,Grade 3 Math
HERITAGE ELEMENTARY SCHOOL,1831,E3,0.4,75,0.25,72,Grade 3 Math
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.14,59,0.3,40,Grade 3 Math
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 3 Math
HUNTER'S GREEN ELEMENTARY SCHL,1941,E3,0.54,125,0.42,137,Grade 3 Math
IPPOLITO ELEMENTARY SCHOOL,1951,TN1,0.12000000000000001,88,0.07,82,Grade 3 Math
JACKSON ELEMENTARY SCHOOL,2041,TN1,0.06,84,0.09,57,Grade 3 Math
JAMES ELEMENTARY SCHOOL,4747,TN2,0.02,62,0.04,46,Grade 3 Math
KENLY ELEMENTARY SCHOOL,2201,TN3,0.1,71,0.05,61,Grade 3 Math
KIMBELL ELEMENTARY SCHOOL,0120,TN1,0,46,0.03,58,Grade 3 Math
KINGSWOOD ELEMENTARY SCHOOL,2261,E5,0.15,79,0.15,54,Grade 3 Math
KNIGHTS ELEMENTARY SCHOOL,2291,E4,0.18000000000000002,115,0.29,105,Grade 3 Math
LAKE MAGDALENE ELEM. SCHOOL,2321,E3,0.25,116,0.23,117,Grade 3 Math
LAMB ELEMENTARY,0128,TN3,0.05,94,0.11,89,Grade 3 Math
LANIER ELEMENTARY SCHOOL,2361,E1,0.4,54,0.18,50,Grade 3 Math
LEWIS ELEMENTARY SCHOOL,2451,E3,0.08,114,0.12,82,Grade 3 Math
LIMONA ELEMENTARY SCHOOL,2431,E3,0.19000000000000003,90,0.35,105,Grade 3 Math
LINCOLN ELEMENTARY MAGNET SCHOOL,2441,E4,0.32999999999999996,86,0.32,78,Grade 3 Math
LITHIA SPRINGS ELEM. SCHOOL,2461,E5,0.43000000000000005,123,0.39,96,Grade 3 Math
LOCKHART ELEMENTARY MAGNET SCHOOL,0962,TN2,0.06,68,0.04,70,Grade 3 Math
LOMAX MAGNET ELEMENTARY SCHOOL,2521,E1,0.06,48,0.31,45,Grade 3 Math
LOPEZ ELEMENTARY SCHOOL,2531,E4,0.07,86,0.24,71,Grade 3 Math
LOWRY ELEMENTARY SCHOOL,2551,E2,0.24,127,0.28,128,Grade 3 Math
LUTZ K-8 SCHOOL,2561,E3,0.35,98,0.45,94,Grade 3 Math
MABRY ELEMENTARY SCHOOL,2601,E1,0.55,150,0.63,122,Grade 3 Math
MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,0060,E1,0.5900000000000001,64,0.52,65,Grade 3 Math
MANGO ELEMENTARY SCHOOL,2721,TN1,0.05,123,0.07,135,Grade 3 Math
MANISCALCO K-8 SCHOOL,2771,E3,0.39,69,0.53,66,Grade 3 Math
MCDONALD ELEMENTARY SCHOOL,2871,TN1,0.09,113,0.06,86,Grade 3 Math
MCKITRICK ELEMENTARY SCHOOL,3082,E2,0.55,166,0.64,166,Grade 3 Math
MENDENHALL ELEMENTARY SCHOOL,2961,E1,0.07,88,0.06,80,Grade 3 Math
MILES ELEMENTARY SCHOOL,3041,TN2,0.09,135,0.08,124,Grade 3 Math
MINTZ ELEMENTARY SCHOOL,3061,E5,0.15,120,0.17,132,Grade 3 Math
MITCHELL ELEMENTARY SCHOOL,3081,E1,0.5700000000000001,132,0.55,109,Grade 3 Math
MORGAN WOODS ELEMENTARY SCHOOL,3101,E2,0.11,90,0.15,65,Grade 3 Math
MORT ELEMENTARY SCHOOL,3121,TN2,0.08,153,0.08,132,Grade 3 Math
MULLER ELEMENTARY MAGNET SCHOOL,3181,E3,0.19,73,0.29,70,Grade 3 Math
NELSON ELEMENTARY SCHOOL,3141,E4,0.23,117,0.26,102,Grade 3 Math
NORTHWEST ELEMENTARY SCHOOL,3151,E2,0.44999999999999996,115,0.57,98,Grade 3 Math
OAK GROVE ELEMENTARY SCHL,3161,E3,0.14,131,0.15,128,Grade 3 Math
OAK PARK ELEMENTARY SCHOOL,3201,TN2,0.21000000000000002,59,0.15,39,Grade 3 Math
PALM RIVER ELEMENTARY SCHOOL,3281,TN3,0.02,50,0.06,64,Grade 3 Math
PATRICIA SULLIVAN METROPOLITAN MINISTRIES,0123,E2,0.25,16,NA,NA,Grade 3 Math
PINECREST ELEMENTARY SCHOOL,3362,E4,0.14,100,0.13,85,Grade 3 Math
PIZZO K-8 SCHOOL,3381,TN4,0.05,153,0.13,128,Grade 3 Math
POTTER ELEMENTARY SCHOOL,3521,TN3,0.06,82,0.1,70,Grade 3 Math
PRIDE ELEMENTARY SCHOOL,3441,E3,0.53,180,0.62,188,Grade 3 Math
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.43,65,0.5,78,Grade 3 Math
REDDICK ELEMENTARY,0110,E5,0.060000000000000005,155,0.08,154,Grade 3 Math
RIVERHILLS ELEMENTARY MAGNET SCHOOL,3622,E3,0.34,82,0.29,89,Grade 3 Math
RIVERVIEW ELEMENTARY SCHOOL,3641,E5,0.14,76,0.15,72,Grade 3 Math
ROBINSON ELEMENTARY SCHOOL,3681,E4,0.15,89,0.27,86,Grade 3 Math
ROBLES ELEMENTARY SCHOOL,3761,TN2,0.06,109,0.03,94,Grade 3 Math
ROLAND PARK K-8 MAGNET SCHOOL,3802,E1,0.44000000000000006,92,0.51,90,Grade 3 Math
ROOSEVELT ELEMENTARY SCHOOL,3801,E1,0.5700000000000001,121,0.63,122,Grade 3 Math
RUSKIN ELEMENTARY SCHOOL,3841,TN3,0.02,140,0.09,111,Grade 3 Math
SCHMIDT ELEMENTARY SCHOOL,3851,E3,0.11,90,0.08,65,Grade 3 Math
SCHWARZKOPF ELEMENTARY SCHOOL,3861,E2,0.31,101,0.32,90,Grade 3 Math
SEFFNER ELEMENTARY SCHOOL,3881,E3,0.12000000000000001,59,0.23,44,Grade 3 Math
SEMINOLE HEIGHTS ELEMENTARY SCHOOL,3921,E2,0.26,53,0.36,53,Grade 3 Math
SESSUMS ELEMENTARY SCHOOL,3922,E5,0.26,142,0.28,154,Grade 3 Math
SHAW ELEMENTARY SCHOOL,3951,TN3,0.09,112,0.06,110,Grade 3 Math
SHEEHY ELEMENTARY SCHOOL,0051,TN3,0.05,59,0.08,62,Grade 3 Math
SHORE ELEMENTARY MAGNET SCHOOL,3961,E1,0.16,64,0.2,55,Grade 3 Math
SIMMONS EXCEPTIONAL CENTER,4002,CN,NA,NA,NA,NA,Grade 3 Math
SPRINGHEAD ELEMENTARY SCHOOL,4161,E4,0.17,108,0.23,129,Grade 3 Math
STOWERS ELEMENTARY SCHOOL,0085,E5,0.6,145,0.57,143,Grade 3 Math
SULPHUR SPRINGS K-8 SCHOOL,4201,TN4,0.29,95,0.17,84,Grade 3 Math
SUMMERFIELD CROSSINGS ELEMENTARY SCHOOL,0084,E5,0.16,167,0.19,125,Grade 3 Math
SUMMERFIELD ELEMENTARY SCHOOL,4211,E5,0.14,134,0.22,129,Grade 3 Math
SYMMES ELEMENTARY SCHOOL,4212,E5,0.35,59,0.18,74,Grade 3 Math
TAMPA BAY BOULEVARD ELEM. SCHL,4241,E1,0.14,71,0.11,93,Grade 3 Math
TAMPA HEIGHTS ELEMENTARY MAGNET,2401,TN1,0.12000000000000001,63,0.21,47,Grade 3 Math
TAMPA PALMS ELEMENTARY SCHOOL,4261,E3,0.35,122,0.32,130,Grade 3 Math
TEMPLE TERRACE ELEM. SCHOOL,4281,TN2,0.19,78,0.08,91,Grade 3 Math
THOMPSON ELEMENTARY,0125,TN3,0.12,118,0.15,127,Grade 3 Math
THONOTOSASSA ELEMENTARY SCHOOL,4361,TN1,0.09,57,0.14,65,Grade 3 Math
TINKER K-8 SCHOOL,4381,E1,0.31,77,0.35,69,Grade 3 Math
TOWN & COUNTRY ELEMENTARY SCHL,4441,E2,0.12,57,0.16,64,Grade 3 Math
TRAPNELL ELEMENTARY SCHOOL,4481,E4,0.12,76,0.24,75,Grade 3 Math
TURNER-BARTELS K-8 SCHOOL,0069,E3,0.38,150,0.37,131,Grade 3 Math
TWIN LAKES ELEMENTARY SCHOOL,4561,E2,0.06,70,0.07,72,Grade 3 Math
VALRICO ELEMENTARY SCHOOL,4581,E4,0.29000000000000004,125,0.29,112,Grade 3 Math
WALDEN LAKE ELEMENTARY SCHOOL,4591,E4,0.31,145,0.3,120,Grade 3 Math
WARREN HOPE DAWSON ELEMENTARY,0005,E5,0.24,164,0.26,156,Grade 3 Math
WASHINGTON ELEMENTARY SCHOOL,4601,TN2,0.02,48,0.1,52,Grade 3 Math
WEST SHORE ELEMENTARY SCHOOL,4681,E1,0.3,57,0.22,49,Grade 3 Math
WEST TAMPA ELEMENTARY SCHOOL,4722,E1,0.1,61,0.19,67,Grade 3 Math
WESTCHASE ELEMENTARY SCHOOL,4651,E2,0.48000000000000004,148,0.46,155,Grade 3 Math
WILSON ELEMENTARY SCHOOL,4801,E4,0.17,58,0.24,51,Grade 3 Math
WIMAUMA ELEMENTARY SCHOOL,4841,E5,0.16,96,0.1,84,Grade 3 Math
WITTER ELEMENTARY SCHOOL,4921,TN2,0.01,88,0.12,84,Grade 3 Math
WOODBRIDGE ELEMENTARY SCHOOL,4941,E2,0.09,100,0.12,98,Grade 3 Math
YATES ELEMENTARY SCHOOL,4961,E4,0.09999999999999999,102,0.06,115,Grade 3 Math
ALAFIA ELEMENTARY SCHOOL,0271,E4,0.48000000000000004,97,0.49,97,Grade 4 ELA
ALEXANDER ELEMENTARY SCHOOL,0081,E2,0.33,86,0.27,67,Grade 4 ELA
ANDERSON ELEMENTARY SCHOOL,0121,E1,0.51,47,0.49,49,Grade 4 ELA
APOLLO BEACH ELEMENTARY SCHOOL,0141,E5,0.45,84,0.54,113,Grade 4 ELA
BAILEY ELEMENTARY SCHOOL,0092,E4,0.27,100,0.3,132,Grade 4 ELA
BALLAST POINT ELEMENTARY SCHL,0161,E1,0.7200000000000001,66,0.54,63,Grade 4 ELA
BAY CREST ELEMENTARY SCHOOL,0191,E2,0.27999999999999997,93,0.27,81,Grade 4 ELA
BELLAMY ELEMENTARY SCHOOL,1776,E2,0.32,99,0.27,110,Grade 4 ELA
BELMONT ELEMENTARY SCHOOL,0009,E5,0.26,129,0.28,178,Grade 4 ELA
BEVIS ELEMENTARY SCHOOL,0361,E5,0.7000000000000001,172,0.69,128,Grade 4 ELA
BING ELEMENTARY SCHOOL,0261,E4,0.18000000000000002,77,0.09,76,Grade 4 ELA
BOYETTE SPRINGS ELEM. SCHOOL,0311,E5,0.6,142,0.59,157,Grade 4 ELA
BROOKER ELEMENTARY SCHOOL,0401,E5,0.49,132,0.41,127,Grade 4 ELA
BROWARD ELEMENTARY SCHOOL,0441,TN3,0.06,29,0.11,35,Grade 4 ELA
BRYAN ELEMENTARY SCHOOL,0521,E4,0.27,90,0.29,108,Grade 4 ELA
BRYANT ELEMENTARY SCHOOL,0527,E2,0.7400000000000001,161,0.74,144,Grade 4 ELA
BUCKHORN ELEMENTARY SCHOOL,0571,E4,0.52,141,0.49,109,Grade 4 ELA
BURNEY ELEMENTARY SCHOOL,0641,TN1,0.2,60,0.23,52,Grade 4 ELA
CANNELLA ELEMENTARY SCHOOL,0691,E2,0.35000000000000003,80,0.39,84,Grade 4 ELA
CARROLLWOOD K-8 SCHOOL,0701,E3,0.6400000000000001,87,0.52,117,Grade 4 ELA
CHIARAMONTE ELEMENTARY SCHOOL,0771,E1,0.38,52,0.39,41,Grade 4 ELA
CHILES ELEMENTARY SCHOOL,0772,E3,0.6900000000000001,170,0.68,148,Grade 4 ELA
CIMINO ELEMENTARY SCHOOL,0802,E4,0.5900000000000001,119,0.55,115,Grade 4 ELA
CITRUS PARK ELEMENTARY SCHOOL,0801,E2,0.56,84,0.51,65,Grade 4 ELA
CLAIR-MEL ELEMENTARY SCHOOL,0841,TN1,0.29,80,0.17,66,Grade 4 ELA
CLARK ELEMENTARY SCHOOL,0851,E3,0.6699999999999999,132,0.62,173,Grade 4 ELA
CLAYWELL ELEMENTARY SCHOOL,0861,E3,0.65,100,0.48,98,Grade 4 ELA
CLEVELAND ELEMENTARY SCHOOL,0881,TN1,0.26,27,0.39,23,Grade 4 ELA
COLLINS PK-8 SCHOOL,0065,E5,0.46,181,0.37,152,Grade 4 ELA
COLSON ELEMENTARY SCHOOL,0931,E4,0.36,117,0.34,102,Grade 4 ELA
CORK ELEMENTARY SCHOOL,1001,E4,0.24,107,0.36,116,Grade 4 ELA
CORR ELEMENTARY SCHOOL,0054,E5,0.2,107,0.22,98,Grade 4 ELA
CRESTWOOD ELEMENTARY SCHOOL,1021,E2,0.28,120,0.27,135,Grade 4 ELA
CYPRESS CREEK ELEMENTARY SCHL,1051,E5,0.25,134,0.32,175,Grade 4 ELA
DAVIS ELEMENTARY SCHOOL,0056,E2,0.3,86,0.22,90,Grade 4 ELA
DEER PARK ELEMENTARY SCHOOL,0100,E2,0.58,160,0.54,178,Grade 4 ELA
DESOTO ELEMENTARY SCHOOL,1081,TN2,0.27,30,0.11,27,Grade 4 ELA
DICKENSON ELEMENTARY SCHOOL,1101,E1,0.26,96,0.33,87,Grade 4 ELA
DOBY ELEMENTARY SCHOOL,0072,E5,0.35000000000000003,81,0.21,107,Grade 4 ELA
DOROTHY C YORK PK-8 MAGNET SCHOOL,0011,E5,0.62,134,0.63,144,Grade 4 ELA
DOROTHY THOMAS CENTER,4321,CN,NA,NA,NA,NA,Grade 4 ELA
DOVER ELEMENTARY,1201,TN3,0.26,95,0.19,80,Grade 4 ELA
DR CARTER G WOODSON K-8 SCHOOL,0682,TN4,0.08,89,0.14,91,Grade 4 ELA
DUNBAR ELEMENTARY MAGNET SCHOOL,1281,TN3,0.26,68,0.44,71,Grade 4 ELA
EDISON ELEMENTARY SCHOOL,1361,TN3,0.16,30,0.12,41,Grade 4 ELA
EGYPT LAKE ELEMENTARY SCHOOL,1401,E2,0.29000000000000004,71,0.3,67,Grade 4 ELA
ESSRIG ELEMENTARY SCHOOL,1431,E3,0.32999999999999996,89,0.48,81,Grade 4 ELA
FISHHAWK CREEK ELEMENTARY SCHOOL,0059,E5,0.65,200,0.68,186,Grade 4 ELA
FOLSOM ELEMENTARY SCHOOL,1471,TN1,0.29,71,0.22,76,Grade 4 ELA
FOREST HILLS ELEMENTARY SCHOOL,0042,TN2,0.13,100,0.13,99,Grade 4 ELA
FOSTER ELEMENTARY SCHOOL,1481,TN1,0.11000000000000001,56,0.13,47,Grade 4 ELA
FROST ELEMENTARY SCHOOL,0070,E4,0.27999999999999997,90,0.35,93,Grade 4 ELA
GIBSONTON ELEMENTARY SCHOOL,1601,TN3,0.27,78,0.22,87,Grade 4 ELA
GORRIE ELEMENTARY SCHOOL,1681,E1,0.68,80,0.77,93,Grade 4 ELA
GRADY ELEMENTARY SCHOOL,1721,E1,0.62,85,0.71,92,Grade 4 ELA
GRAHAM ELEMENTARY SCHOOL,1761,TN3,0.16,30,0.12,33,Grade 4 ELA
HAMMOND ELEMENTARY SCHOOL,0102,E2,0.69,107,0.62,122,Grade 4 ELA
HERITAGE ELEMENTARY SCHOOL,1831,E3,0.52,72,0.43,84,Grade 4 ELA
HILLSBOROUGH VIRTUAL SCHOOL,7023,IN,0.6499999999999999,59,0.79,34,Grade 4 ELA
HOSPITAL/HOMEBOUND/HOMEBASED PROGRAMS,5371,CN,NA,NA,NA,NA,Grade 4 ELA
HUNTER'S GREEN ELEMENTARY SCHL,1941,E3,0.63,123,0.62,130,Grade 4 ELA
IPPOLITO ELEMENTARY SCHOOL,1951,TN1,0.26,74,0.16,86,Grade 4 ELA
JACKSON ELEMENTARY SCHOOL,2041,TN1,0.16999999999999998,74,0.15,78,Grade 4 ELA
JAMES ELEMENTARY SCHOOL,4747,TN2,0.21,56,0.15,47,Grade 4 ELA
KENLY ELEMENTARY SCHOOL,2201,TN3,0.15,69,0.16,61,Grade 4 ELA
KIMBELL ELEMENTARY SCHOOL,0120,TN1,0.19,47,0.09,54,Grade 4 ELA
KINGSWOOD ELEMENTARY SCHOOL,2261,E5,0.17,75,0.18,66,Grade 4 ELA
KNIGHTS ELEMENTARY SCHOOL,2291,E4,0.36,113,0.34,106,Grade 4 ELA
LAKE MAGDALENE ELEM. SCHOOL,2321,E3,0.42,106,0.45,99,Grade 4 ELA
LAMB ELEMENTARY,0128,TN3,0.15,67,0.22,72,Grade 4 ELA
LANIER ELEMENTARY SCHOOL,2361,E1,0.38,53,0.5,56,Grade 4 ELA
LEWIS ELEMENTARY SCHOOL,2451,E3,0.25,89,0.26,93,Grade 4 ELA
LIMONA ELEMENTARY SCHOOL,2431,E3,0.41000000000000003,99,0.41,80,Grade 4 ELA
LINCOLN ELEMENTARY MAGNET SCHOOL,2441,E4,0.6200000000000001,70,0.53,83,Grade 4 ELA
LITHIA SPRINGS ELEM. SCHOOL,2461,E5,0.7800000000000001,90,0.56,117,Grade 4 ELA
LOCKHART ELEMENTARY MAGNET SCHOOL,0962,TN2,0.23,54,0.19,68,Grade 4 ELA
LOMAX MAGNET ELEMENTARY SCHOOL,2521,E1,0.29,57,0.29,48,Grade 4 ELA
LOPEZ ELEMENTARY SCHOOL,2531,E4,0.44000000000000006,86,0.36,80,Grade 4 ELA
LOWRY ELEMENTARY SCHOOL,2551,E2,0.45,114,0.51,121,Grade 4 ELA
LUTZ K-8 SCHOOL,2561,E3,0.39,89,0.5,108,Grade 4 ELA
MABRY ELEMENTARY SCHOOL,2601,E1,0.73,135,0.76,147,Grade 4 ELA
MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,0060,E1,0.7400000000000001,59,0.68,60,Grade 4 ELA
MANGO ELEMENTARY SCHOOL,2721,TN1,0.24,108,0.2,99,Grade 4 ELA
MANISCALCO K-8 SCHOOL,2771,E3,0.5,75,0.45,76,Grade 4 ELA
MCDONALD ELEMENTARY SCHOOL,2871,TN1,0.25,68,0.28,97,Grade 4 ELA
MCKITRICK ELEMENTARY SCHOOL,3082,E2,0.7600000000000001,203,0.77,168,Grade 4 ELA
MENDENHALL ELEMENTARY SCHOOL,2961,E1,0.24000000000000002,71,0.23,74,Grade 4 ELA
MILES ELEMENTARY SCHOOL,3041,TN2,0.14,93,0.15,97,Grade 4 ELA
MINTZ ELEMENTARY SCHOOL,3061,E5,0.28,122,0.27,115,Grade 4 ELA
MITCHELL ELEMENTARY SCHOOL,3081,E1,0.7,115,0.72,137,Grade 4 ELA
MORGAN WOODS ELEMENTARY SCHOOL,3101,E2,0.27,69,0.26,85,Grade 4 ELA
MORT ELEMENTARY SCHOOL,3121,TN2,0.24,129,0.27,124,Grade 4 ELA
MULLER ELEMENTARY MAGNET SCHOOL,3181,E3,0.39,69,0.34,71,Grade 4 ELA
NELSON ELEMENTARY SCHOOL,3141,E4,0.41,121,0.42,117,Grade 4 ELA
NORTHWEST ELEMENTARY SCHOOL,3151,E2,0.6900000000000001,111,0.64,120,Grade 4 ELA
OAK GROVE ELEMENTARY SCHL,3161,E3,0.23,104,0.24,119,Grade 4 ELA
OAK PARK ELEMENTARY SCHOOL,3201,TN2,0.31,52,0.14,50,Grade 4 ELA
PALM RIVER ELEMENTARY SCHOOL,3281,TN3,0.15,53,0.18,61,Grade 4 ELA
PATRICIA SULLIVAN METROPOLITAN MINISTRIES,0123,E2,0.5,14,0.65,17,Grade 4 ELA
PINECREST ELEMENTARY SCHOOL,3362,E4,0.22,81,0.34,97,Grade 4 ELA
PIZZO K-8 SCHOOL,3381,TN4,0.24000000000000002,95,0.16,136,Grade 4 ELA
POTTER ELEMENTARY SCHOOL,3521,TN3,0.13,61,0.13,67,Grade 4 ELA
PRIDE ELEMENTARY SCHOOL,3441,E3,0.62,158,0.65,183,Grade 4 ELA
RAMPELLO K-8 MAGNET SCHOOL,4251,E1,0.62,73,0.71,78,Grade 4 ELA
REDDICK ELEMENTARY,0110,E5,0.22,139,0.16,148,Grade 4 ELA
RIVERHILLS ELEMENTARY MAGNET SCHOOL,3622,E3,0.44,80,0.53,88,Grade 4 ELA
