Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"",,HILLSBOROUGH HIGH SCHOOL,High,,2,,,,,2
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,3,,,,,3
"",,WHARTON HIGH SCHOOL,High,,1,,,,,1
"",Hope Sch Total,,,,9,2,,,,11
"",Magnet,SPOTO HIGH SCHOOL,High,,2,,,,,2
"",,ARMWOOD HIGH SCHOOL,High,,4,1,,,,5
"",,ALONSO HIGH SCHOOL,High,,,2,,,,2
"",,BLAKE HIGH SCHOOL,High,,25,7,,4,11,47
"",,HILLSBOROUGH HIGH SCHOOL,High,1,4,6,,,5,16
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Middleton,Magnet,LETO HIGH SCHOOL,High,,,2,,,,2
"",,MIDDLETON HIGH SCHOOL,High,1,19,12,,,8,40
"",,ROBINSON HIGH SCHOOL,High,,2,,,,1,3
"",,JEFFERSON HIGH SCHOOL,High,,29,6,,,1,36
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,120,23,,10,6,160
"",Magnet Total,,,3,206,59,,15,32,315
"",Neighborhood,ARMWOOD HIGH SCHOOL,High,,2,,,,,2
"",,ALONSO HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,5,1,,,1,7
"",,CHAMBERLAIN HIGH SCHOOL,High,,3,,,,1,4
"",,GAITHER HIGH SCHOOL,High,,1,,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,12,2,,,,14
"",,KING HIGH SCHOOL,High,,,,,1,,1
"",,MIDDLETON HIGH SCHOOL,High,7,555,171,,26,32,791
"",,ROBINSON HIGH SCHOOL,High,,,1,,,1,2
"",,JEFFERSON HIGH SCHOOL,High,,2,,,,,2
"",,BLOOMINGDALE HIGH SCHOOL,High,,1,,,,,1
"",,WHARTON HIGH SCHOOL,High,,2,,,1,,3
"",Neighborhood Total,,,7,583,175,,28,36,829
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,10,2,,,1,13
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,45,16,,,1,62
"",,WEST UNIVERSITY CHARTER HIGH,High,,6,2,,1,,9
"",,FOCUS ACADEMY,High,,1,,,,1,2
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,3,2,,1,1,7
"",,WINTHROP COLLEGE PREP ACADEMY,High,,3,,,,,3
"",Charter Total,,,,68,22,,2,4,96
"Middleton Total1096228553801,390",,,,,,,,,,
Newsome,Choice,SUMNER HIGH SCHOOL,High,1,3,1,,,1,6
"",,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,DURANT HIGH SCHOOL,High,2,1,1,,3,27,34
"",,EAST BAY HIGH SCHOOL,High,,,,,,1,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Newsome,Choice,RIVERVIEW HIGH SCHOOL,High,,2,2,,,5,9
"",,PLANT HIGH SCHOOL,High,,,,,,1,1
"",,PLANT CITY HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,BLOOMINGDALE HIGH SCHOOL,High,1,,2,,,11,14
"",Choice Total,,,4,7,12,,4,50,77
"",Hope Sch,DURANT HIGH SCHOOL,High,,,,,,1,1
"",Hope Sch Total,,,,,,,,1,1
"",Magnet,LENNARD HIGH SCHOOL,High,,,,,,2,2
"",,STRAWBERRY CREST HIGH SCHOOL,High,25,1,5,1,,8,40
"",,ARMWOOD HIGH SCHOOL,High,2,1,,,2,1,6
"",,BLAKE HIGH SCHOOL,High,1,,,,1,11,13
"",,MIDDLETON HIGH SCHOOL,High,17,2,1,,,2,22
"",,NEWSOME HIGH SCHOOL,High,1,,,,1,3,5
"",,JEFFERSON HIGH SCHOOL,High,,,,,,3,3
"",,TAMPA BAY TECH HIGH SCHOOL,High,,5,2,,,2,9
"",Magnet Total,,,46,9,8,1,4,32,100
"",Neighborhood,SUMNER HIGH SCHOOL,High,,,2,,,,2
"",,SPOTO HIGH SCHOOL,High,,1,2,,,,3
"",,STRAWBERRY CREST HIGH SCHOOL,High,1,,,,,,1
"",,DURANT HIGH SCHOOL,High,,,1,,,2,3
"",,EAST BAY HIGH SCHOOL,High,,,,,,1,1
"",,NEWSOME HIGH SCHOOL,High,151,197,567,6,240,"2,137","3,298"
"",,BLOOMINGDALE HIGH SCHOOL,High,,,1,,,3,4
"",Neighborhood Total,,,152,198,573,6,240,"2,143","3,312"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,,,,,1,1
"",,FOCUS ACADEMY,High,,1,,,,1,2
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,,1,,,,1
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,,2,,,,2
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,1,,,4,5
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,,,,1,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"Newsome Total20221559772492,2323,502",,,,,,,,,,
Plant,Choice,BRANDON HIGH SCHOOL,High,,,1,,,1,2
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",,PLANT HIGH SCHOOL,High,,,1,,1,6,8
"",,ROBINSON HIGH SCHOOL,High,,,2,,,5,7
"",,JEFFERSON HIGH SCHOOL,High,,2,2,,,,4
"",,SICKLES HIGH SCHOOL,High,,,1,,,,1
"",Choice Total,,,,4,7,,1,12,24
"",Hope Sch,BRANDON HIGH SCHOOL,High,,,,,,1,1
"",,PLANT HIGH SCHOOL,High,,,1,,,,1
"",,ROBINSON HIGH SCHOOL,High,,,,,,1,1
"",Hope Sch Total,,,,,1,,,2,3
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,1,,,,,,1
"",,ALONSO HIGH SCHOOL,High,,,,,1,,1
"",,BLAKE HIGH SCHOOL,High,,2,4,,1,18,25
"",,HILLSBOROUGH HIGH SCHOOL,High,,,,,,2,2
"",,LETO HIGH SCHOOL,High,1,,1,,,,2
"",,MIDDLETON HIGH SCHOOL,High,,,,,2,2,4
"",,PLANT HIGH SCHOOL,High,,,3,,2,7,12
"",,ROBINSON HIGH SCHOOL,High,16,3,19,,9,101,148
"",,JEFFERSON HIGH SCHOOL,High,,1,1,,,,2
"",,TAMPA BAY TECH HIGH SCHOOL,High,,2,,,,2,4
"",Magnet Total,,,18,8,28,,15,132,201
"",Neighborhood,SUMNER HIGH SCHOOL,High,,,1,,,,1
"",,SPOTO HIGH SCHOOL,High,,1,,,,,1
"",,STEINBRENNER HIGH SCHOOL,High,,,2,,,,2
"",,BLAKE HIGH SCHOOL,High,,2,,,,,2
"",,HILLSBOROUGH HIGH SCHOOL,High,,,1,,,,1
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,PLANT HIGH SCHOOL,High,97,133,414,3,139,"1,617","2,403"
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Plant,Neighborhood Total,,,97,138,420,3,139,"1,618","2,415"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,1,1,,,1,3
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,3,2,,,2,7
"",,WEST UNIVERSITY CHARTER HIGH,High,,1,,,,,1
"",,FOCUS ACADEMY,High,,,,,,1,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,,1,,,1,2
"",Charter Total,,,,5,4,,,5,14
"Plant Total11515546031551,7692,657",,,,,,,,,,
Plant City,Choice,SUMNER HIGH SCHOOL,High,,,,,,2,2
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,5,,1,14,20
"",,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,1,,,,,1
"",,DURANT HIGH SCHOOL,High,,7,1,,1,13,22
"",,RIVERVIEW HIGH SCHOOL,High,,,,,,1,1
"",,PLANT CITY HIGH SCHOOL,High,,,3,,,7,10
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",Choice Total,,,,11,9,,2,38,60
"",Hope Sch,DURANT HIGH SCHOOL,High,,,,,,1,1
"",Hope Sch Total,,,,,,,,1,1
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,4,,7,,,11,22
"",,ARMWOOD HIGH SCHOOL,High,2,4,2,,,5,13
"",,BLAKE HIGH SCHOOL,High,,3,,,1,1,5
"",,HILLSBOROUGH HIGH SCHOOL,High,1,,,,,,1
"",,KING HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,1,1,2,,,3,7
"",,PLANT CITY HIGH SCHOOL,High,,,,,1,2,3
"",,JEFFERSON HIGH SCHOOL,High,,3,3,,,,6
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,14,7,,,1,23
"",Magnet Total,,,9,25,22,,2,23,81
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Plant City,Neighborhood,ARMWOOD HIGH SCHOOL,High,,,1,,,1,2
"",,BLAKE HIGH SCHOOL,High,,,,,,1,1
"",,BRANDON HIGH SCHOOL,High,,1,1,,,,2
"",,DURANT HIGH SCHOOL,High,,,2,,,2,4
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,PLANT CITY HIGH SCHOOL,High,24,295,"1,340",3,73,763,"2,498"
"",Neighborhood Total,,,24,299,"1,347",3,73,769,"2,515"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,,1,,,1,2
"",,DR KIRAN C PATEL HIGH SCHOOL,High,2,,,,1,,3
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,1,,,,1
"",Charter Total,,,2,,2,,1,1,6
"Plant City Total353351,3803788322,663",,,,,,,,,,
Riverview,Choice,SUMNER HIGH SCHOOL,High,1,7,3,,3,19,33
"",,SPOTO HIGH SCHOOL,High,,1,,,,1,2
"",,LENNARD HIGH SCHOOL,High,,,1,,1,,2
"",,STRAWBERRY CREST HIGH SCHOOL,High,,1,1,,,,2
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,3,2,,2,2,9
"",,DURANT HIGH SCHOOL,High,,,2,,2,8,12
"",,EAST BAY HIGH SCHOOL,High,,2,2,,,9,13
"",,FREEDOM HIGH SCHOOL,High,,1,,,,,1
"",,GAITHER HIGH SCHOOL,High,,,1,,,2,3
"",,LETO HIGH SCHOOL,High,,1,,,,,1
"",,NEWSOME HIGH SCHOOL,High,,,,,,1,1
Riverview,,RIVERVIEW HIGH SCHOOL,High,,1,2,,,6,9
"",,ROBINSON HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,BLOOMINGDALE HIGH SCHOOL,High,,,2,,,6,8
"",Choice Total,,,1,20,16,,8,54,99
"",Hope Sch,EAST BAY HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,,1,,,,1
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Riverview,Magnet,LENNARD HIGH SCHOOL,High,2,2,1,,1,8,14
"",,STRAWBERRY CREST HIGH SCHOOL,High,12,1,2,,,2,17
"",,ARMWOOD HIGH SCHOOL,High,,,6,,,3,9
"",,BLAKE HIGH SCHOOL,High,1,15,6,,5,11,38
"",,KING HIGH SCHOOL,High,4,,1,,,2,7
"",,MIDDLETON HIGH SCHOOL,High,6,3,2,,2,2,15
"",,RIVERVIEW HIGH SCHOOL,High,1,1,1,,,,3
"",,JEFFERSON HIGH SCHOOL,High,,3,2,,1,1,7
"",,TAMPA BAY TECH HIGH SCHOOL,High,,25,7,,1,8,41
"",Magnet Total,,,27,51,36,,12,42,168
"",Neighborhood,SUMNER HIGH SCHOOL,High,,1,4,,,1,6
"",,SPOTO HIGH SCHOOL,High,,1,,,,,1
"",,LENNARD HIGH SCHOOL,High,,,1,,,,1
"",,ARMWOOD HIGH SCHOOL,High,,,1,,,,1
"",,BLAKE HIGH SCHOOL,High,,2,1,,1,,4
"",,BRANDON HIGH SCHOOL,High,,,1,,,1,2
"",,EAST BAY HIGH SCHOOL,High,,,1,,,4,5
"",,FREEDOM HIGH SCHOOL,High,,1,,,,,1
"",,NEWSOME HIGH SCHOOL,High,,,,,2,2,4
"",,RIVERVIEW HIGH SCHOOL,High,74,444,777,4,183,852,"2,334"
"",,ROBINSON HIGH SCHOOL,High,,1,1,,,,2
"",,JEFFERSON HIGH SCHOOL,High,,,,,,1,1
"",,BLOOMINGDALE HIGH SCHOOL,High,,1,2,,,,3
"",Neighborhood Total,,,74,451,789,4,186,861,"2,365"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,1,,,1,,2
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,1,,,,,1
"",,WEST UNIVERSITY CHARTER HIGH,High,,1,,,,,1
"",,FOCUS ACADEMY,High,,1,,,,1,2
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,,2,,,,2
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,3,4,,,,7
"",,WINTHROP COLLEGE PREP ACADEMY,High,7,20,43,,7,20,97
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Riverview,Charter Total,,,7,30,56,,9,26,128
"Riverview Total10955289842159832,761",,,,,,,,,,
Robinson,Choice,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,,,,,1,1
"",,EAST BAY HIGH SCHOOL,High,,1,,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,,,,,1,1
"",,PLANT HIGH SCHOOL,High,,1,5,,2,8,16
"",,ROBINSON HIGH SCHOOL,High,2,,,,1,8,11
"",,JEFFERSON HIGH SCHOOL,High,,3,1,,,5,9
"",Choice Total,,,2,6,6,,3,23,40
"",Magnet,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,ALONSO HIGH SCHOOL,High,,,1,,,,1
"",,BLAKE HIGH SCHOOL,High,,4,2,,3,11,20
"",,HILLSBOROUGH HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,1,,,1,3
"",,ROBINSON HIGH SCHOOL,High,19,10,36,,25,142,232
"",,JEFFERSON HIGH SCHOOL,High,,3,1,,2,4,10
"",,TAMPA BAY TECH HIGH SCHOOL,High,,2,5,,1,1,9
"",Magnet Total,,,19,21,47,,31,159,277
"",Neighborhood,FREEDOM HIGH SCHOOL,High,,1,,,,,1
"",,PLANT HIGH SCHOOL,High,1,1,,,,2,4
"",,ROBINSON HIGH SCHOOL,High,24,144,167,1,78,319,733
"",,JEFFERSON HIGH SCHOOL,High,,,,,1,,1
"",Neighborhood Total,,,25,146,167,1,79,321,739
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,,2,,,,2
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,,4,,,1,5
"",,WEST UNIVERSITY CHARTER HIGH,High,,,1,,,,1
"",,FOCUS ACADEMY,High,,,,,,2,2
"",Charter Total,,,,,7,,,3,10
"Robinson Total4617322711135061,066",,,,,,,,,,
Sickles,Choice,ALONSO HIGH SCHOOL,High,,1,2,,,4,7
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Sickles,Choice,HILLSBOROUGH HIGH SCHOOL,High,1,,,,,,1
"",,LETO HIGH SCHOOL,High,,,2,,,2,4
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,SICKLES HIGH SCHOOL,High,,1,3,,,2,6
"",Choice Total,,,1,3,16,,1,21,42
"",Hope Sch,LETO HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,,1,,,,1
"",Magnet,ALONSO HIGH SCHOOL,High,14,2,8,,3,7,34
"",,BLAKE HIGH SCHOOL,High,1,2,1,,,6,10
"",,HILLSBOROUGH HIGH SCHOOL,High,30,1,2,1,2,10,46
"",,KING HIGH SCHOOL,High,,,,,1,,1
"",,LETO HIGH SCHOOL,High,1,,4,,,2,7
"",,MIDDLETON HIGH SCHOOL,High,11,1,1,,1,3,17
"",,ROBINSON HIGH SCHOOL,High,9,,4,,1,5,19
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,SICKLES HIGH SCHOOL,High,5,3,,,1,3,12
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,1,1,,,1,4
"",Magnet Total,,,72,11,21,1,9,37,151
"",Neighborhood,ALONSO HIGH SCHOOL,High,1,,,,,1,2
"",,GAITHER HIGH SCHOOL,High,,1,3,,,,4
"",,HILLSBOROUGH HIGH SCHOOL,High,1,,,,,1,2
"",,LETO HIGH SCHOOL,High,,1,,,,,1
"",,SICKLES HIGH SCHOOL,High,193,93,868,2,152,940,"2,248"
"",Neighborhood Total,,,195,95,871,2,152,942,"2,257"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,,1,,,1,3
"",,WEST UNIVERSITY CHARTER HIGH,High,,2,6,,,2,10
"",,FOCUS ACADEMY,High,,,1,,,,1
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,1,,,,1
"",Charter Total,,,1,2,9,,,3,15
"Sickles Total26911191831621,0032,466",,,,,,,,,,
Spoto,Choice,SUMNER HIGH SCHOOL,High,,7,3,,,5,15
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Spoto,Choice,LENNARD HIGH SCHOOL,High,,,1,,,,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,1,,,,1,2
"",,ARMWOOD HIGH SCHOOL,High,,3,1,,,,4
"",,ALONSO HIGH SCHOOL,High,,,2,,,,2
"",,BLAKE HIGH SCHOOL,High,,1,2,,,,3
"",,BRANDON HIGH SCHOOL,High,,3,5,,,4,12
"",,CHAMBERLAIN HIGH SCHOOL,High,,1,,,,,1
"",,DURANT HIGH SCHOOL,High,1,,2,,,4,7
"",,EAST BAY HIGH SCHOOL,High,,7,8,,,9,24
"",,GAITHER HIGH SCHOOL,High,,1,,,,,1
"",,HILLSBOROUGH HIGH SCHOOL,High,,2,1,,,,3
"",,KING HIGH SCHOOL,High,,1,1,,,,2
"",,MIDDLETON HIGH SCHOOL,High,,4,,,,,4
"",,NEWSOME HIGH SCHOOL,High,,,,,,1,1
"",,RIVERVIEW HIGH SCHOOL,High,1,17,9,,5,17,49
"",,ROBINSON HIGH SCHOOL,High,,1,1,,1,,3
"",,JEFFERSON HIGH SCHOOL,High,,4,4,,1,,9
"",,BLOOMINGDALE HIGH SCHOOL,High,,2,5,,1,6,14
"",,WHARTON HIGH SCHOOL,High,,2,,,,,2
"",Choice Total,,,3,62,49,,9,49,172
"",Hope Sch,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,EAST BAY HIGH SCHOOL,High,,1,,,,,1
"",,ROBINSON HIGH SCHOOL,High,,,,,,1,1
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",Hope Sch Total,,,,3,,,,1,4
"",Magnet,SPOTO HIGH SCHOOL,High,2,58,50,,10,39,159
"",,LENNARD HIGH SCHOOL,High,2,1,1,,,5,9
"",,STRAWBERRY CREST HIGH SCHOOL,High,7,,3,,,3,13
"",,ARMWOOD HIGH SCHOOL,High,,7,2,,,2,11
"",,ALONSO HIGH SCHOOL,High,,,2,,,,2
"",,BLAKE HIGH SCHOOL,High,2,34,16,,6,14,72
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Spoto,Magnet,KING HIGH SCHOOL,High,2,2,1,,2,4,11
"",,MIDDLETON HIGH SCHOOL,High,10,8,7,1,3,5,34
"",,RIVERVIEW HIGH SCHOOL,High,,1,,,,,1
"",,ROBINSON HIGH SCHOOL,High,,,4,,,1,5
"",,JEFFERSON HIGH SCHOOL,High,,12,11,,,4,27
"",,TAMPA BAY TECH HIGH SCHOOL,High,5,106,52,,8,15,186
"",Magnet Total,,,30,231,149,1,29,95,535
"",Neighborhood,SUMNER HIGH SCHOOL,High,,4,3,,1,,8
"",,SPOTO HIGH SCHOOL,High,35,642,635,5,79,232,"1,628"
"",,LENNARD HIGH SCHOOL,High,,1,,,,,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,,2,,,,2
"",,ARMWOOD HIGH SCHOOL,High,,3,,,,,3
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,2,2,,,,4
"",,CHAMBERLAIN HIGH SCHOOL,High,,1,,,,,1
"",,DURANT HIGH SCHOOL,High,,,1,,,,1
"",,EAST BAY HIGH SCHOOL,High,,,1,,,1,2
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",,RIVERVIEW HIGH SCHOOL,High,,2,1,,3,2,8
"",,PLANT HIGH SCHOOL,High,,,1,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,BLOOMINGDALE HIGH SCHOOL,High,,,3,,,2,5
"",,WHARTON HIGH SCHOOL,High,1,,,,,,1
"",Neighborhood Total,,,36,659,649,5,83,237,"1,669"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,2,,,,1,4
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,12,3,,1,2,18
"",,WEST UNIVERSITY CHARTER HIGH,High,,2,,,,,2
"",,FOCUS ACADEMY,High,,1,1,,1,1,4
"",,DR KIRAN C PATEL HIGH SCHOOL,High,1,4,4,,1,3,13
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,5,22,,2,,29
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Spoto,Charter,RIVERVIEW ACADEMY HIGH SCHOOL,High,4,9,20,,5,11,49
"",Charter Total,,,14,77,132,,30,64,317
"Spoto Total831,03297961514462,697",,,,,,,,,,
Steinbrenner,Choice,STEINBRENNER HIGH SCHOOL,High,,,1,,3,4,8
"",,ALONSO HIGH SCHOOL,High,,,1,,,1,2
"",,CHAMBERLAIN HIGH SCHOOL,High,,,,,,1,1
"",,GAITHER HIGH SCHOOL,High,2,3,10,,2,11,28
"",,HILLSBOROUGH HIGH SCHOOL,High,,1,,,,,1
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,SICKLES HIGH SCHOOL,High,,1,1,,,6,8
"",Choice Total,,,2,5,14,,5,23,49
"",Magnet,STEINBRENNER HIGH SCHOOL,High,1,,,,,2,3
"",,ALONSO HIGH SCHOOL,High,,1,1,,,3,5
"",,BLAKE HIGH SCHOOL,High,2,1,1,,,8,12
"",,HILLSBOROUGH HIGH SCHOOL,High,27,,5,,2,11,45
"",,LETO HIGH SCHOOL,High,,,1,,,1,2
"",,MIDDLETON HIGH SCHOOL,High,1,,1,,,3,5
"",,ROBINSON HIGH SCHOOL,High,,,,,1,1,2
"",,JEFFERSON HIGH SCHOOL,High,,,,,,1,1
"",,TAMPA BAY TECH HIGH SCHOOL,High,1,1,2,,1,1,6
"",Magnet Total,,,32,3,11,,4,31,81
"",Neighborhood,STEINBRENNER HIGH SCHOOL,High,208,101,541,5,140,"1,380","2,375"
"",,ALONSO HIGH SCHOOL,High,,,1,,,,1
"",,CHAMBERLAIN HIGH SCHOOL,High,,,1,,,,1
"",,GAITHER HIGH SCHOOL,High,,,,,,2,2
"",,SICKLES HIGH SCHOOL,High,,,1,,,,1
"",Neighborhood Total,,,208,101,544,5,140,"1,382","2,380"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,3,1,4,,3,3,14
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,1,,,1,,2
"",,WEST UNIVERSITY CHARTER HIGH,High,,,,,1,,1
"",,FOCUS ACADEMY,High,,,1,,,1,2
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Steinbrenner,Charter,WINTHROP COLLEGE PREP ACADEMY,High,,,,,,1,1
"",Charter Total,,,3,2,6,,5,6,22
"Steinbrenner Total24511157551541,4422,532",,,,,,,,,,
Strawberry Crest,Choice,LENNARD HIGH SCHOOL,High,,,,,,1,1
"",,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,,1,,,,5,6
"",,ARMWOOD HIGH SCHOOL,High,,,,,,1,1
"",,BRANDON HIGH SCHOOL,High,,,3,,,1,4
"",,DURANT HIGH SCHOOL,High,,,,,,11,11
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",,NEWSOME HIGH SCHOOL,High,,,,,,2,2
"",,PLANT CITY HIGH SCHOOL,High,,,2,,3,15,20
"",,SICKLES HIGH SCHOOL,High,,,,,,1,1
"",Choice Total,,,,1,6,,3,38,48
"",Magnet,STRAWBERRY CREST HIGH SCHOOL,High,,3,11,,6,16,36
"",,ARMWOOD HIGH SCHOOL,High,,4,14,,4,10,32
"",,ALONSO HIGH SCHOOL,High,,,1,,,,1
"",,BLAKE HIGH SCHOOL,High,,,1,,,1,2
"",,KING HIGH SCHOOL,High,1,,,,,1,2
"",,MIDDLETON HIGH SCHOOL,High,2,1,,,1,2,6
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",,TAMPA BAY TECH HIGH SCHOOL,High,,7,5,,3,5,20
"",Magnet Total,,,3,16,32,,14,35,100
"",Neighborhood,STRAWBERRY CREST HIGH SCHOOL,High,17,79,"1,001",2,38,684,"1,821"
"",,BRANDON HIGH SCHOOL,High,,,4,,,2,6
"",,DURANT HIGH SCHOOL,High,,,1,,,,1
"",,PLANT CITY HIGH SCHOOL,High,,,4,,,2,6
"",Neighborhood Total,,,17,79,"1,010",2,38,688,"1,834"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,1,1,2,,,,4
"",,WEST UNIVERSITY CHARTER HIGH,High,,,2,,,,2
"",,FOCUS ACADEMY,High,,,1,,,1,2
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Strawberry Crest,Charter Total,,,1,4,9,,,1,15
"Strawberry Crest Total211001,0572557621,997",,,,,,,,,,
Sumner,Choice,SUMNER HIGH SCHOOL,High,2,9,19,,2,10,42
"",,SPOTO HIGH SCHOOL,High,,,,,,1,1
"",,LENNARD HIGH SCHOOL,High,1,1,2,,2,6,12
"",,ARMWOOD HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,1,,,1,1,3
"",,DURANT HIGH SCHOOL,High,,,1,,,6,7
"",,EAST BAY HIGH SCHOOL,High,,9,11,,3,13,36
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,NEWSOME HIGH SCHOOL,High,,,1,,,2,3
"",,RIVERVIEW HIGH SCHOOL,High,1,2,1,,,5,9
"",,PLANT CITY HIGH SCHOOL,High,,,1,,,,1
"",,ROBINSON HIGH SCHOOL,High,,4,,,,,4
"",,JEFFERSON HIGH SCHOOL,High,,2,,,,,2
"",,WHARTON HIGH SCHOOL,High,,,,,,1,1
"",Choice Total,,,4,29,37,,8,45,123
"",Hope Sch,LENNARD HIGH SCHOOL,High,,,,,,1,1
"",,BLAKE HIGH SCHOOL,High,,,,,,1,1
