Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Lewis,Charter,NEW SPRINGS SCHOOL,K-8,,5,2,,,3,10
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,1,,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,1,2,,2,2,7
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,1,,,1,,2
"",,VILLAGE OF EXCELLENCE,Elem,,5,,,1,,6
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,,1,1
"",,WOODMONT CHARTER SCHOOL,K-8,,18,4,,,1,23
"",Charter Total,,,3,41,17,,8,25,94
"",Choice,CHILES ELEMENTARY,Elem,1,1,,,1,,3
"",,CLARK ELEMENTARY,Elem,,1,,,,1,2
"",,CORR ELEMENTARY,Elem,,,1,,,1,2
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DAVIS ELEMENTARY,Elem,,,,,1,,1
"",,FOLSOM ELEMENTARY,Elem,,,2,,,,2
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,1,,,,1
"",,LEWIS ELEMENTARY,Elem,,3,4,,4,2,13
"",,PIZZO K-8 SCHOOL,K-8,,1,,,,,1
"",,SCHMIDT ELEMENTARY,Elem,,2,,,,,2
"",,SHEEHY ELEMENTARY,Elem,,3,,,,,3
"",,TAMPA PALMS ELEMENTARY,Elem,,1,,,,1,2
"",,TEMPLE TERRACE ELEMENTARY,Elem,,1,1,,,,2
"",,THONOTOSASSA ELEMENTARY,Elem,,1,,,,1,2
"",,TWIN LAKES ELEMENTARY,Elem,,,,,1,,1
"",,WOODSON K-8,K-8,,1,,,,,1
"",Choice Total,,,1,15,10,,7,6,39
"",ESE Placed,LEWIS ELEMENTARY,Elem,,,,,1,,1
"","ESE Placed
Total",,,,,,,1,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,2,,,,,2
"",,LOCKHART ELEMENTARY MAGNET,Elem,,2,,,1,,3
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
Lewis,Magnet,RAMPELLO K-8,K-8,1,,,,,1,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,2,17,5,,2,25,51
"",,ROLAND PARK K-8 MAGNET,K-8,,3,2,,2,1,8
"",,SHORE ELEMENTARY,Elem,,7,,,,,7
"",Magnet Total,,,5,42,8,,6,27,88
"",Neighborhood,DESOTO ELEMENTARY,Elem,,1,,,,,1
"",,DUNBAR ELEMENTARY,Elem,,1,,,,,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,1,,,1,2
"",,LEWIS ELEMENTARY,Elem,12,143,98,,27,77,357
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,PIZZO K-8 SCHOOL,K-8,,1,1,,,,2
"",,POTTER ELEMENTARY,Elem,,1,1,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,1,2
"",,ROBLES ELEMENTARY,Elem,,2,1,1,,,4
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,1
"",,TAMPA PALMS ELEMENTARY,Elem,,,,,,1,1
"",,TEMPLE TERRACE ELEMENTARY,Elem,,3,2,,,1,6
"",,THONOTOSASSA ELEMENTARY,Elem,,1,,,1,1,3
"",,TWIN LAKES ELEMENTARY,Elem,,1,,,,,1
"",,WITTER ELEMENTARY,Elem,,,,,,1,1
"",Neighborhood,,,,,,,,,
"",Total,,,12,157,104,1,28,83,385
Lewis Total,,,,21,255,139,1,50,141,607
Limona,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,3,3,,,1,7
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,1,,,,1,2
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,,,,1,1
"",,INDEPENDENCE ACADEMY,K-8,,,6,,,3,9
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,,,,,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,3,,,3,6
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,3,,,,,,3
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,,,,1,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,2,2,,,,4
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Limona,Charter,VALRICO LAKE ADVANTAGE ACAD,Elem,1,1,1,,,1,4
"",,WINTHROP CHARTER SCHOOL,K-8,3,2,5,,2,3,15
"",,WOODMONT CHARTER SCHOOL,K-8,,,1,,,,1
"",Charter Total,,,7,10,21,,2,14,54
"",Choice,ALAFIA ELEMENTARY,Elem,,,,,,3,3
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,1,,,1,2
"",,BROOKER ELEMENTARY,Elem,,,,,,4,4
"",,BRYAN PLANT CITY ELEMENTARY,Elem,,,2,,,,2
"",,BUCKHORN ELEMENTARY,Elem,,,1,,,,1
"",,COLSON ELEMENTARY,Elem,,4,,,,1,5
"",,DICKENSON ELEMENTARY,Elem,,,1,,,,1
"",,LIMONA ELEMENTARY,Elem,,1,5,,,2,8
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,1,,,,1
"",,LOPEZ ELEMENTARY,Elem,,,,,,1,1
"",,LOWRY ELEMENTARY,Elem,,,1,,,,1
"",,MINTZ ELEMENTARY,Elem,,,1,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,,,,1,2,3
"",,SCHMIDT ELEMENTARY,Elem,,1,,,1,,2
"",,SEFFNER ELEMENTARY,Elem,1,,,,,,1
"",,SPRINGHEAD ELEMENTARY,Elem,,,,,,1,1
"",,STOWERS ELEMENTARY,Elem,1,,,,,,1
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,,,,,1,1
"",,YATES ELEMENTARY,Elem,,,5,,,1,6
"",Choice Total,,,2,6,18,,2,17,45
"",ESE Placed,LOPEZ ELEMENTARY,Elem,,,,,1,,1
"","ESE Placed
Total",,,,,,,1,,1
"",Magnet,LINCOLN ELEMENTARY MAGNET,Elem,,,,,1,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,MULLER ELEMENTARY MAGNET,Elem,,,,,,1,1
"",,RAMPELLO K-8,K-8,,,3,,1,4,8
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Limona,Magnet,ROLAND PARK K-8 MAGNET,K-8,,1,2,,,1,4
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,1,,,,1
"",Magnet Total,,,,2,6,,2,7,17
"",Neighborhood,BAILEY ELEMENTARY,Elem,,,,,,1,1
"",,DOVER ELEMENTARY,Elem,,,2,,,,2
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,KENLY ELEMENTARY,Elem,,1,,,,,1
"",,LAMB ELEMENTARY,Elem,,1,,,,,1
"",,LIMONA ELEMENTARY,Elem,18,69,156,2,35,148,428
"",,MANGO ELEMENTARY,Elem,,1,1,,,,2
"",,NELSON ELEMENTARY,Elem,,,,,,2,2
"",,RAMPELLO K-8,K-8,,1,,,,,1
"",,SCHMIDT ELEMENTARY,Elem,,1,2,,2,1,6
"",,SEFFNER ELEMENTARY,Elem,,,4,,,,4
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,1,,,,,1
"",,YATES ELEMENTARY,Elem,,1,2,,1,3,7
"","Neighborhood
Total",,,18,77,167,2,38,155,457
"Limona Total
2795212245193574",,,,,,,,,,
Lithia Springs,Charter,INDEPENDENCE ACADEMY,K-8,,,,,,3,3
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,,,,,,1,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,1,1,,,6,8
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,,1,,,1,3,5
"",,WINTHROP CHARTER SCHOOL,K-8,,,2,,,2,4
"",Charter Total,,,,2,3,,1,15,21
"",Choice,ALAFIA ELEMENTARY,Elem,,1,,,,4,5
"",,BEVIS ELEMENTARY,Elem,,,,,,4,4
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,BUCKHORN ELEMENTARY,Elem,,,,,,1,1
"",,CIMINO ELEMENTARY,Elem,,,3,,,8,11
"",,COLSON ELEMENTARY,Elem,,,,,,1,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
Lithia Springs,Choice,STOWERS ELEMENTARY,Elem,,1,,1,,,3,5
"",Choice Total,,,,2,,5,,,29,36
"",Magnet,LINCOLN ELEMENTARY MAGNET,Elem,,2,,,,,,2
"",Magnet Total,,,,2,,,,,,2
"",Neighborhood,BUCKHORN ELEMENTARY,Elem,,,,,,,1,1
"",,CIMINO ELEMENTARY,Elem,,,,4,,1,7,12
"",,LITHIA SPRINGS ELEMENTARY,Elem,31,10,,58,1,42,295,437
"",,PINECREST ELEMENTARY,Elem,,,,1,,,,1
"",Neighborhood,,,,,,,,,,
"",Total,,,31,10,,63,1,43,303,451
Lithia Springs Total,,,,31,16,,71,1,44,347,510
Lopez,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,2,1,,,,1,,4
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,,1,,,,1
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,,,1,,,,1
"",,INDEPENDENCE ACADEMY,K-8,2,3,,16,,7,25,53
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,1,,2,,,1,4
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,2,,3,,1,,6
"",,WINTHROP CHARTER SCHOOL,K-8,,1,,,,,,1
"",,WOODMONT CHARTER SCHOOL,K-8,,,,,,2,,2
"",Charter Total,,,4,8,,23,,11,26,72
"",Choice,ALAFIA ELEMENTARY,Elem,,,,,,,1,1
"",,BAILEY ELEMENTARY,Elem,,,,2,,1,6,9
"",,BEVIS ELEMENTARY,Elem,,,,,,,2,2
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,,2,2
"",,BROOKER ELEMENTARY,Elem,,2,,,,,,2
"",,CIMINO ELEMENTARY,Elem,,,,,,,2,2
"",,COLSON ELEMENTARY,Elem,,,,2,,,3,5
"",,FROST ELEMENTARY,Elem,,,,,,,2,2
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,,1,,,,1
"",,LEWIS ELEMENTARY,Elem,,,,1,,,,1
"",,LIMONA ELEMENTARY,Elem,,1,,,,,2,3
"",,LOPEZ ELEMENTARY,Elem,,,,1,,1,2,4
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Lopez,Choice,OAK GROVE ELEMENTARY,Elem,,,,,,1,1
"",,SCHWARZKOPF ELEMENTARY,Elem,,,1,,,,1
"",,SEFFNER ELEMENTARY,Elem,,,1,,,1,2
"",,TRAPNELL ELEMENTARY,Elem,,,,,,1,1
"",,VALRICO ELEMENTARY,Elem,,,2,,,3,5
"",Choice Total,,,,3,11,,2,28,44
"",ESE Placed,TOWN AND COUNTRY ELEMENTARY,Elem,,,1,,,,1
"","ESE Placed
Total",,,,,1,,,,1
"",Magnet,LINCOLN ELEMENTARY MAGNET,Elem,1,,1,,,1,3
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,1,,1
"",,RAMPELLO K-8,K-8,,1,,,,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,2,1,1,,,,4
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,,2,2
"",Magnet Total,,,3,2,2,,1,3,11
"",Neighborhood,BURNEY ELEMENTARY,Elem,,,1,,,,1
"",,CLAIR MEL ELEMENTARY,Elem,,,,,,1,1
"",,COLSON ELEMENTARY,Elem,,,3,,,,3
"",,LIMONA ELEMENTARY,Elem,,,2,,,,2
"",,LOPEZ ELEMENTARY,Elem,4,61,162,1,29,145,402
"",,MANGO ELEMENTARY,Elem,1,,2,,,4,7
"",,SEFFNER ELEMENTARY,Elem,,,,,,1,1
"","Neighborhood
Total",,,5,61,170,1,29,151,417
"Lopez Total
1274207143208545",,,,,,,,,,
Lowry,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,,3,,,,1,4
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,1,1,,,,2
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,10,5,44,1,5,23,88
"",,HORIZON CHARTER SCH OF TAMPA,K-8,3,,,1,,2,6
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,1,1,,,3,2,7
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,1,,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Lowry,Charter,TRINITY SCHOOL FOR CHILDREN,K-8,,1,,,,5,6
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,1,1,,1,1,4
"",Charter Total,,,14,15,46,2,9,34,120
"",Choice,BELLAMY ELEMENTARY,Elem,,,1,,,,1
"",,BRYANT ELEMENTARY,Elem,2,1,7,,2,13,25
"",,CITRUS PARK ELEMENTARY,Elem,,,,,,1,1
"",,DAVIS ELEMENTARY,Elem,,2,,,,,2
"",,DEER PARK ELEMENTARY,Elem,3,2,4,,3,10,22
"",,ESSRIG ELEMENTARY,Elem,,,1,,,,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,,,1,,1
"",,LOWRY ELEMENTARY,Elem,,,3,,,2,5
"",,MABRY ELEMENTARY,Elem,,,,,,1,1
"",,MORGAN WOODS ELEMENTARY,Elem,,,2,,,,2
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,,,,1,1
"",,WESTCHASE ELEMENTARY,Elem,2,,6,,1,20,29
"",Choice Total,,,7,5,24,,7,48,91
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,4,,,,,,4
"",,MULLER ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,RAMPELLO K-8,K-8,,2,,,,,2
"",,ROLAND PARK K-8 MAGNET,K-8,1,,3,,3,1,8
"",Magnet Total,,,5,3,3,,3,1,15
"",Neighborhood,BALLAST POINT ELEMENTARY,Elem,,,1,,,,1
"",,BAY CREST ELEMENTARY,Elem,,1,,,,,1
"",,BELLAMY ELEMENTARY,Elem,2,,2,,,,4
"",,DAVIS ELEMENTARY,Elem,1,,1,,,,2
"",,DEER PARK ELEMENTARY,Elem,,,,,,1,1
"",,LOWRY ELEMENTARY,Elem,55,50,227,1,53,289,675
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,,,1,,1
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,2,,,,2
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,1,,,,1
"",,TURNER BARTELS K-8,K-8,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
"",Neighborhood,,,,,,,,,
Lowry,Total,,,58,51,236,1,54,290,690
Lowry Total,,,,84,74,309,3,73,373,916
Lutz,Charter,EXCELSIOR PREP CHARTER SCHOOL,Elem,,1,1,,,,2
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,LEARNING GATE COMMUNITY,K-8,,,4,,4,28,36
"",,LEGACY PREPARATORY ACADEMY,K-8,,,1,,,,1
"",,LUTZ PREPARATORY SCHOOL,K-8,6,3,7,1,8,65,90
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,1,,,1,2
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,12,2,23,,3,41,81
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,2,,1,2,5
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,,,,2,2
"",Charter Total,,,18,6,40,1,16,139,220
"",Choice,ANDERSON ELEMENTARY,Elem,,1,,,,,1
"",,CLAYWELL ELEMENTARY,Elem,,,1,,,,1
"",,HAMMOND ELEMENTARY,Elem,,,1,,,3,4
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,,,,1,1
"",,LUTZ K-8 SCHOOL,K-8,,,3,,,6,9
"",,MANISCALCO K-8 SCHOOL,K-8,,,5,,,6,11
"",,MCKITRICK ELEMENTARY,Elem,2,1,5,,1,5,14
"",,MORGAN WOODS ELEMENTARY,Elem,,,,,,1,1
"",,NORTHWEST ELEMENTARY,Elem,1,,,,,1,2
"",,SCHWARZKOPF ELEMENTARY,Elem,,,1,,2,7,10
"",,WOODBRIDGE ELEMENTARY,Elem,,,2,,1,,3
"",Choice Total,,,3,2,18,,4,30,57
"",ESE Center,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,,1,1
"",ESE Center,,,,,,,,,
"",Total,,,,,,,,1,1
"",Neighborhood,HAMMOND ELEMENTARY,Elem,,,,,,1,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,,,1,,1
"",,LUTZ K-8 SCHOOL,K-8,7,17,135,,20,256,435
"",,MANISCALCO K-8 SCHOOL,K-8,,,3,,2,5,10
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Lutz,Neighborhood,OAK GROVE ELEMENTARY,Elem,,,1,,,,1
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,1,,,,,1
"",,WESTCHASE ELEMENTARY,Elem,,,,,,1,1
"",,WOODBRIDGE ELEMENTARY,Elem,,,1,,,,1
"","Neighborhood
Total",,,7,18,140,,23,263,451
"Lutz Total
2826198143433729",,,,,,,,,,
Mabry,Charter,LUTZ PREPARATORY SCHOOL,K-8,1,,,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,,2,2
"",Charter Total,,,1,,,,,2,3
"",Choice,BALLAST POINT ELEMENTARY,Elem,,,,,,3,3
"",,GRADY ELEMENTARY,Elem,1,,,,1,2,4
"",,ROOSEVELT ELEMENTARY,Elem,,,,,,1,1
"",,WESTCHASE ELEMENTARY,Elem,,,1,,,,1
"",Choice Total,,,1,,1,,1,6,9
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,1,,1,,1,1,4
"",,ROLAND PARK K-8 MAGNET,K-8,1,,,,5,21,27
"",Magnet Total,,,2,,1,,6,22,31
"",Neighborhood,CHIARAMONTE ELEMENTARY,Elem,,,,,,2,2
"",,GRADY ELEMENTARY,Elem,1,,,,,4,5
"",,LAKE MAGDALENE ELEMENTARY,Elem,,,,,,1,1
"",,MABRY ELEMENTARY,Elem,25,5,98,1,57,596,782
"",,ROOSEVELT ELEMENTARY,Elem,,,,,,2,2
"","Neighborhood
Total",,,26,5,98,1,57,605,792
"Mabry Total
305100164635835",,,,,,,,,,
Mango,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,2,4,,,,6
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,1,,,,2
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,,,,1,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,1,,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,21,5,2,1,,,29
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Mango,Charter,INDEPENDENCE ACADEMY,K-8,,1,12,,1,4,18
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,1,,,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,,,1,,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,3,3,,,3,9
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,2,,,,,,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,1,,,,1
"",,THE COLLABORATORY PREP ACADEMY,Elem,,,1,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,1,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,10,1,2,1,,,14
"",,VILLAGE OF EXCELLENCE,Elem,,2,,,,,2
"",,WALTON ACADEMY,Elem,,2,,,,,2
"",,WINTHROP CHARTER SCHOOL,K-8,1,5,,,2,1,9
"",,WOODMONT CHARTER SCHOOL,K-8,,2,,,,,2
"",Charter Total,,,35,26,28,2,4,9,104
"",Choice,ALAFIA ELEMENTARY,Elem,1,,3,,,,4
"",,BAILEY ELEMENTARY,Elem,,,2,,1,2,5
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,,,,,1,1
"",,BROOKER ELEMENTARY,Elem,,,1,,,,1
"",,CHILES ELEMENTARY,Elem,,,1,,,1,2
"",,CIMINO ELEMENTARY,Elem,,,,,1,1,2
"",,CLARK ELEMENTARY,Elem,,2,,,,,2
"",,COLSON ELEMENTARY,Elem,1,4,10,,1,12,28
"",,DICKENSON ELEMENTARY,Elem,,,1,,,,1
"",,DOVER ELEMENTARY,Elem,,,,,,1,1
"",,EGYPT LAKE ELEMENTARY,Elem,,,1,,,,1
"",,FOLSOM ELEMENTARY,Elem,,1,,,,,1
"",,FOSTER ELEMENTARY,Elem,,2,,,,,2
"",,GRAHAM ELEMENTARY,Elem,,1,,,,,1
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,,,,1,1
"",,KINGSWOOD ELEMENTARY,Elem,,2,,,,1,3
"",,LAMB ELEMENTARY,Elem,,4,,,,,4
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Mango,Choice,LOPEZ ELEMENTARY,Elem,,4,6,,3,8,21
"",,MANGO ELEMENTARY,Elem,,1,1,,,1,3
"",,MCDONALD ELEMENTARY,Elem,,,,,,1,1
"",,MINTZ ELEMENTARY,Elem,,,1,,,,1
"",,MORT ELEMENTARY,Elem,,1,,,,,1
"",,SCHMIDT ELEMENTARY,Elem,,1,2,,1,1,5
"",,SEFFNER ELEMENTARY,Elem,,2,1,,,1,4
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,1
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,,1,,,,1
"",,SULPHUR SPRINGS K-8,K-8,,1,,,,1,2
"",,SUMMERFIELD ELEMENTARY,Elem,,,1,,,,1
"",,SYMMES ELEMENTARY,Elem,,1,1,,,,2
"",,TAMPA PALMS ELEMENTARY,Elem,,1,,,,,1
"",,TEMPLE TERRACE ELEMENTARY,Elem,,1,,,,,1
"",,THONOTOSASSA ELEMENTARY,Elem,,1,,,,,1
"",,VALRICO ELEMENTARY,Elem,,,1,,,,1
"",,WEST TAMPA ELEMENTARY,Elem,1,,2,,,,3
"",Choice Total,,,15,32,39,1,9,38,134
"",ESE Placed,SCHMIDT ELEMENTARY,Elem,,1,,,,,1
"","ESE Placed
Total",,,,1,,,,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,3,,,1,5
"",,ESSRIG ELEMENTARY,Elem,,1,,,,,1
"",,LINCOLN ELEMENTARY MAGNET,Elem,1,1,2,,,,4
"",,LOCKHART ELEMENTARY MAGNET,Elem,,7,,,,,7
"",,LOMAX ELEMENTARY MAGNET,Elem,2,6,,,1,1,10
"",,MACFARLANE PARK ELEM MAGNET,Elem,,1,2,,,,3
"",,MULLER ELEMENTARY MAGNET,Elem,,5,3,,4,1,13
"",,RAMPELLO K-8,K-8,,2,,,,,2
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,6,4,,,4,,14
"",,SHORE ELEMENTARY,Elem,,7,1,,3,,11
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Mango,Magnet Total,,,9,39,13,,12,3,76
"",Neighborhood,BAILEY ELEMENTARY,Elem,,,,,,1,1
"",,BALLAST POINT ELEMENTARY,Elem,,1,,,,,1
"",,BING ELEMENTARY,Elem,,2,,,,,2
"",,COLSON ELEMENTARY,Elem,1,2,4,,,2,9
"",,DOVER ELEMENTARY,Elem,,,1,,,3,4
"",,DUNBAR ELEMENTARY,Elem,,4,,,,,4
"",,EDISON ELEMENTARY,Elem,,1,,,,,1
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,KENLY ELEMENTARY,Elem,,1,,,,,1
"",,KINGSWOOD ELEMENTARY,Elem,,,1,,,,1
"",,LIMONA ELEMENTARY,Elem,2,,,,,,2
"",,LOCKHART ELEMENTARY MAGNET,Elem,,2,,,,,2
"",,LOPEZ ELEMENTARY,Elem,2,10,16,1,5,9,43
"",,MANGO ELEMENTARY,Elem,14,239,280,,36,90,659
"",,MCDONALD ELEMENTARY,Elem,,1,,,,1,2
"",,PALM RIVER ELEMENTARY,Elem,,1,,,,,1
"",,POTTER ELEMENTARY,Elem,,2,,,,,2
"",,RIVERVIEW ELEMENTARY,Elem,,,,,,1,1
"",,SEFFNER ELEMENTARY,Elem,,1,2,,,,3
"",,THONOTOSASSA ELEMENTARY,Elem,,2,,,,,2
"",,WASHINGTON ELEMENTARY,Elem,,,2,,,,2
"",,WEST TAMPA ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,19,271,306,1,41,107,745
"Mango Total
783693864661571,060",,,,,,,,,,
Maniscalco,Charter,HENDERSON HAMMOCK CHARTER SCH,K-8,,1,2,,,1,4
"",,LEARNING GATE COMMUNITY,K-8,2,2,8,,3,37,52
"",,LUTZ PREPARATORY SCHOOL,K-8,7,3,14,,5,46,75
"",,NEW SPRINGS SCHOOL,K-8,,,,,,2,2
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Maniscalco,Charter,TRINITY SCHOOL FOR CHILDREN,K-8,,,3,,,3,6
"",,VICTORY CHARTER SCHOOL TAMPA,Elem,,,1,,,,1
"",,WOODMONT CHARTER SCHOOL,K-8,,,2,,,,2
"",Charter Total,,,11,9,53,,10,117,200
"",Choice,BRYANT ELEMENTARY,Elem,,,,,,2,2
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CARROLLWOOD K-8 SCHOOL,K-8,,,2,,1,2,5
"",,CHILES ELEMENTARY,Elem,,,1,,,1,2
"",,CITRUS PARK ELEMENTARY,Elem,,,,,,1,1
"",,CLARK ELEMENTARY,Elem,,,,,,1,1
"",,CLAYWELL ELEMENTARY,Elem,,,6,,5,4,15
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,ESSRIG ELEMENTARY,Elem,,,2,,1,,3
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,,,,1,1
"",,LAKE MAGDALENE ELEMENTARY,Elem,,1,3,,2,2,8
"",,LEWIS ELEMENTARY,Elem,,1,,,,,1
"",,LUTZ K-8 SCHOOL,K-8,,1,1,,1,6,9
"",,MANISCALCO K-8 SCHOOL,K-8,,,2,,1,,3
"",,MCKITRICK ELEMENTARY,Elem,,,6,,,1,7
"",,MITCHELL ELEMENTARY,Elem,,,,,,1,1
"",,NORTHWEST ELEMENTARY,Elem,,1,2,,,,3
"",,OAK GROVE ELEMENTARY,Elem,,,,,2,,2
"",,SCHWARZKOPF ELEMENTARY,Elem,1,,6,,2,3,12
"",,TAMPA PALMS ELEMENTARY,Elem,,,,,,1,1
"",,WEST TAMPA ELEMENTARY,Elem,,,1,,,,1
"",Choice Total,,,1,4,34,,15,26,80
"",Magnet,ESSRIG ELEMENTARY,Elem,,,1,,3,,4
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,1,2
"",,MULLER ELEMENTARY MAGNET,Elem,,,1,,,,1
"",,RAMPELLO K-8,K-8,,,,,,1,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,,,,1,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
